issuer,issue_date,listing_date,issue_price,listing_day_close,listing_day_return,status
Amagi Media Labs Limited,2026-01-13,2026-01-21,361.0,348.25,-0.035318559556786706,listed_alive
Avana Electrosystems Limited,2026-01-12,2026-01-20,59.0,80.3,0.36101694915254234,listed_alive
Bharat Coking Coal Limited,2026-01-09,2026-01-19,23.0,40.58,0.7643478260869564,listed_alive
Victory Electric Vehicles International Limited,2026-01-07,2026-01-14,41.0,32.75,-0.20121951219512196,listed_alive
Adani Enterprises Limited,2026-01-06,2026-02-10,450.0,1749.7,2.8882222222222222,listed_alive
E TO E Transportation Infrastructure Limited,2025-12-26,2026-01-02,174.0,327.8,0.8839080459770116,listed_alive
Dhara Rail Projects Limited,2025-12-23,2025-12-31,126.0,157.5,0.25,listed_alive
Gujarat Kidney and Super Speciality Limited,2025-12-22,2025-12-30,114.0,104.54,-0.08298245614035082,listed_alive
EPW India Limited,2025-12-22,2025-12-30,97.0,116.55,0.2015463917525773,listed_alive
Shyam Dhani Industries Limited,2025-12-22,2025-12-30,70.0,139.65,0.9950000000000001,listed_alive
Sundrex Oil Company Limited,2025-12-22,2025-12-30,86.0,65.4,-0.23953488372093015,listed_alive
Marc Technocrats Limited,2025-12-17,2025-12-24,93.0,70.7,-0.2397849462365591,listed_alive
KSH International Limited,2025-12-16,2025-12-23,384.0,355.0,-0.07552083333333333,listed_alive
ICICI Prudential Asset Management Company Limited,2025-12-12,2025-12-19,2165.0,2585.9,0.19441108545034647,listed_alive
Ashwini Container Movers Limited,2025-12-12,2025-12-19,142.0,140.1,-0.013380281690140884,listed_alive
Exim Routes Limited,2025-12-12,2025-12-19,88.0,115.5,0.3125,listed_alive
Park Medi World Limited,2025-12-10,2025-12-17,162.0,147.95,-0.08672839506172847,listed_alive
Nephrocare Health Services Limited,2025-12-10,2025-12-17,460.0,471.25,0.024456521739130436,listed_alive
Wakefit Innovations Limited,2025-12-08,2025-12-15,195.0,192.29,-0.013897435897435938,listed_alive
Corona Remedies Limited,2025-12-08,2025-12-15,1062.0,1438.4,0.35442561205273077,listed_alive
Flywings Simulator Training Centre Limited,2025-12-05,2025-12-12,191.0,204.75,0.07198952879581152,listed_alive
Encompass Design India Limited,2025-12-05,2025-12-12,107.0,193.15,0.805140186915888,listed_alive
Aequs Limited,2025-12-03,2025-12-10,124.0,151.29,0.22008064516129025,listed_alive
Vidya Wires Limited,2025-12-03,2025-12-10,52.0,53.17,0.022500000000000034,listed_alive
Meesho Limited,2025-12-03,2025-12-10,111.0,170.09,0.5323423423423423,listed_alive
